,tms_loading,date_loading,id_vendor,vendor,os,brand,model,price,original_price,ram,memory,sim,gps,a_gps,color,display_type,display_size,carrier,battery_capacity,height,width,length,weight
0,2020-08-07 07:30:05.716185,2020-08-07,1,MediaWorld,Android,SAMSUNG,Galaxy S20 4G,597.35,919.00,8 GB,128 GB,Mono SIM,Sì,Sì,Grey,Dynamic AMOLED,"6,2",No,4000 mAh,"15,17","6,91","0,79 cm","0,163"
1,2020-08-07 07:30:37.174010,2020-08-07,1,MediaWorld,Android,SAMSUNG,Galaxy A20e,139.99,179.99,3 GB,32 GB,Dual SIM,Sì,Sì,Black,LCD,"5,8",N.d,3000 mAh,"14,74","6,97","0,84 cm","0,14"
2,2020-08-07 07:31:03.492239,2020-08-07,1,MediaWorld,Ios,APPLE,iPhone 11 Pro 256GB,1155.15,1359.00,,256 GB,Mono SIM,Sì,Sì,Green,Oled,"5,8",No,,"14,4","7,14","0,81 cm","0,188"
3,2020-08-07 07:31:28.793367,2020-08-07,1,MediaWorld,Android,XIAOMI,Mi Note 10,379.00,599.00,6 GB,128 GB,Dual SIM,Sì,Sì,Midnight Black,AMOLED,"6,47",No,5260 mAh,"15,78","7,42","0,96 cm","0,208"
4,2020-08-07 07:31:55.940556,2020-08-07,1,MediaWorld,Android,SAMSUNG,Galaxy S20 4G,597.35,919.00,8 GB,128 GB,Mono SIM,Sì,Sì,Blue,Dynamic AMOLED,"6,2",No,4000 mAh,"15,17","6,91","0,79 cm","0,163"
5,2020-08-07 07:32:22.723219,2020-08-07,1,MediaWorld,Ios,APPLE,iPhone 11 128GB,800.10,889.00,,128 GB,Mono SIM,Sì,Sì,Black,Retina,"6,1",No,,"15,09","7,57","0,83 cm","0,194"
6,2020-08-07 07:32:43.391272,2020-08-07,1,MediaWorld,Ios,APPLE,iPhone 11 64GB,769.00,839.00,,64 GB,Mono SIM,Sì,Sì,Purple,Retina,"6,1",No,,"15,09","7,57","0,83 cm","0,194"
7,2020-08-07 07:33:05.364359,2020-08-07,1,MediaWorld,Android,XIAOMI,MI NOTE 10 LITE,275.99,399.00,6 GB,128 GB,Dual SIM,Sì,N.d,Black,AMOLED,"6,47",Vodafone,5260 mAh,"15,78","7,42","0,967 cm","0,204"
8,2020-08-07 07:33:30.081349,2020-08-07,1,MediaWorld,Ios,APPLE,iPhone 11 Pro 64GB,1041.00,1199.00,,64 GB,Dual SIM,Sì,Sì,Green,Oled,"5,8",No,,"14,4","7,14","0,81 cm","0,188"
9,2020-08-07 07:33:58.171641,2020-08-07,1,MediaWorld,Android,HUAWEI,P30 LITE,194.35,299.00,4 GB,128 GB,Dual SIM,Sì,Sì,Blue,LCD,"6,15",N.d,3340 mAh,"15,29","7,27","0,74 cm","0,159"
10,2020-08-07 07:34:25.444093,2020-08-07,1,MediaWorld,Android,SAMSUNG,Galaxy A20e,139.99,179.99,3 GB,32 GB,Dual SIM,Sì,Sì,Blue,TFT,"5,8",N.d,3000 mAh,"14,74","6,97","0,84 cm","0,14"
11,2020-08-07 07:34:52.565069,2020-08-07,1,MediaWorld,Android,XIAOMI,Redmi Note 8 T Blue,169.99,189.00,4 GB,64 GB,Dual SIM,Sì,Sì,Starscape Blue,LCD,"6,3",No,4000 mAh,,, cm,N.D
12,2020-08-07 07:35:15.355484,2020-08-07,1,MediaWorld,Android,SAMSUNG,Galaxy A51,269.25,359.00,4 GB,128 GB,Dual SIM,Sì,Sì,Black,Super AMOLED,"6,5",No,4000 mAh,"15,85","7,36","0,79 cm","0,172"
13,2020-08-07 07:35:44.737089,2020-08-07,1,MediaWorld,Android,SAMSUNG,NOTE 10 LITE,429.00,629.00,6 GB,128 GB,Dual SIM,Sì,N.d,Black,Super AMOLED,"6,7",Vodafone,4500 mAh,"16,37","7,61","8,7 cm","0,199"
14,2020-08-07 07:36:14.475322,2020-08-07,1,MediaWorld,Ios,APPLE,iPhone 11 Pro 64GB,1049.00,1199.00,,64 GB,Mono SIM,Sì,Sì,Gold,Oled,"5,8",No,,"14,4","7,14","0,81 cm","0,188"
15,2020-08-07 07:36:40.854161,2020-08-07,1,MediaWorld,Ios,APPLE,iPhone SE 128GB,549.00,549.00,,128 GB,Mono SIM,Sì,Sì,Black,Retina,"4,7",No,,"6,73","13,84","0,73 cm","0,148"
16,2020-08-07 07:37:04.643269,2020-08-07,1,MediaWorld,Android,SAMSUNG,Galaxy A51,269.25,359.00,4 GB,128 GB,Dual SIM,Sì,Sì,Blue,Super AMOLED,"6,5",No,4000 mAh,"15,85","7,36","0,79 cm","0,172"
17,2020-08-07 07:37:27.969318,2020-08-07,1,MediaWorld,Android,SAMSUNG,Galaxy A71,367.20,459.00,6 GB,128 GB,Dual SIM,Sì,Sì,Blue,Super AMOLED,"6,7",No,4500 mAh,"16,36","7,6","0,77 cm","0,179"
18,2020-08-07 07:37:49.326419,2020-08-07,1,MediaWorld,Android,SAMSUNG,NOTE10 LITE,497.00,629.00,6 GB,128 GB,Dual SIM,Sì,N.d,Black,Super AMOLED,"6,7",No,4500 mAh,"16,37","7,61","8,7 cm","0,199"
19,2020-08-07 07:38:16.004473,2020-08-07,1,MediaWorld,Android,SAMSUNG,Galaxy A20e,139.99,179.99,3 GB,32 GB,Dual SIM,Sì,Sì,White,TFT,"5,8",N.d,3000 mAh,"14,74","6,97","0,84 cm","0,14"
20,2020-08-07 07:38:46.470298,2020-08-07,1,MediaWorld,Ios,APPLE,iPhone 11 Pro Max 256GB,1329.00,1459.00,,256 GB,Mono SIM,Sì,Sì,Green,Oled,"6,5",No,,"15,8","7,78","0,81 cm","0,226"
21,2020-08-07 07:39:13.797717,2020-08-07,1,MediaWorld,Android,SAMSUNG,Galaxy A71,367.20,459.00,6 GB,128 GB,Dual SIM,Sì,Sì,Silver,Super AMOLED,"6,7",No,4500 mAh,"16,36","7,6","0,77 cm","0,179"
22,2020-08-07 07:39:43.553935,2020-08-07,1,MediaWorld,Ios,APPLE,iPhone 11 Pro Max 256GB,1289.00,1459.00,,256 GB,Mono SIM,Sì,Sì,Grey,Oled,"6,5",No,,"15,8","7,78","0,81 cm","0,226"
23,2020-08-07 07:40:09.979699,2020-08-07,1,MediaWorld,Ios,APPLE,iPhone 11 Pro 256GB,1155.15,1359.00,,256 GB,Mono SIM,Sì,Sì,Silver,Oled,"5,8",No,,"14,4","7,14","0,81 cm","0,188"
24,2020-08-07 07:40:33.834299,2020-08-07,1,MediaWorld,Ios,APPLE,iPhone 11 128GB,800.10,889.00,,128 GB,Mono SIM,Sì,Sì,Green,Retina,"6,1",No,,"15,09","7,57","0,83 cm","0,194"
25,2020-08-07 07:40:59.914370,2020-08-07,1,MediaWorld,Ios,APPLE,iPhone 11 Pro Max 256GB,1288.00,1459.00,,256 GB,Mono SIM,Sì,Sì,Silver,Oled,"6,5",No,,"15,8","7,78","0,81 cm","0,226"
26,2020-08-07 07:42:02.364752,2020-08-07,1,MediaWorld,Android,XIAOMI,Redmi Note 8 Pro 6+128,223.99,299.00,6 GB,128 GB,Dual SIM,Sì,N.d,Black,LCD,"6,53",No,4500 mAh,"16,13","7,64","0,87 cm",N.D
27,2020-08-07 07:42:27.419984,2020-08-07,1,MediaWorld,Android,SAMSUNG,Galaxy S10,579.00,779.00,8 GB,128 GB,Dual SIM,Sì,Sì,Black,Dynamic AMOLED,"6,1",No,3400 mAh,"14,99","7,04","0,78 cm","0,157"
28,2020-08-07 07:42:52.276474,2020-08-07,1,MediaWorld,Android,HONOR,HUAWEI HONOR 8S,112.99,119.99,2 GB,32 GB,Dual SIM,Sì,N.d,Black,LCD,"5,7",No,3000 mAh,"14,7","7,08","0,85 cm","0,146"
29,2020-08-07 07:43:16.728871,2020-08-07,1,MediaWorld,Android,XIAOMI,XIAOMI REDMI 7A,101.99,119.99,2 GB,16 GB,Dual SIM,Sì,Sì,Blue,LCD,"5,45",TIM,4000 mAh,"14,3",7,"0,96 cm","0,165"
