,tms_loading,date_loading,id_vendor,vendor,os,brand,model,price,original_price,ram,memory,sim,gps,a_gps,color,display_type,display_size,carrier,battery_capacity,height,width,length,weight
0,2020-08-05 06:37:52.834200,2020-08-05,1,MediaWorld,Android,SAMSUNG,Galaxy A30s,205.99,259.99,4 GB,128 GB,Dual SIM,Sì,Sì,Black,Super AMOLED,"6,4",N.d,4000 mAh,"15,85","7,47","0,78 cm","0,169"
1,2020-08-05 06:38:17.063929,2020-08-05,1,MediaWorld,Android,SAMSUNG,Galaxy A30s,219.99,259.99,4 GB,128 GB,Dual SIM,Sì,Sì,Green,Super AMOLED,"6,4",N.d,4000 mAh,"15,85","7,47","0,78 cm","0,169"
2,2020-08-05 06:38:49.345840,2020-08-05,1,MediaWorld,Ios,APPLE,iPhone 11 64GB,825.00,839.00,,64 GB,Mono SIM,Sì,Sì,White,Retina,"6,1",No,,"15,09","7,57","0,83 cm","0,194"
3,2020-08-05 06:39:10.347457,2020-08-05,1,MediaWorld,Ios,APPLE,iPhone 11 Pro 256GB,1155.15,1359.00,,256 GB,Mono SIM,Sì,Sì,Green,Oled,"5,8",No,,"14,4","7,14","0,81 cm","0,188"
4,2020-08-05 06:39:35.796552,2020-08-05,1,MediaWorld,Ios,APPLE,iPhone 11 128GB,800.10,889.00,,128 GB,Mono SIM,Sì,Sì,Black,Retina,"6,1",No,,"15,09","7,57","0,83 cm","0,194"
5,2020-08-05 06:39:59.452176,2020-08-05,1,MediaWorld,Android,SAMSUNG,Galaxy A71,367.20,459.00,6 GB,128 GB,Dual SIM,Sì,Sì,Black,Super AMOLED,"6,7",No,4500 mAh,"16,36","7,6","0,77 cm","0,179"
6,2020-08-05 06:40:25.089428,2020-08-05,1,MediaWorld,Ios,APPLE,iPhone 11 64GB,779.00,839.00,,64 GB,Mono SIM,Sì,Sì,Purple,Retina,"6,1",No,,"15,09","7,57","0,83 cm","0,194"
7,2020-08-05 06:40:50.119271,2020-08-05,1,MediaWorld,Android,XIAOMI,MI NOTE 10 LITE,279.30,399.00,6 GB,128 GB,Dual SIM,Sì,N.d,Black,AMOLED,"6,47",Vodafone,5260 mAh,"15,78","7,42","0,967 cm","0,204"
8,2020-08-05 06:41:19.835415,2020-08-05,1,MediaWorld,Android,SAMSUNG,Galaxy A51,269.25,359.00,4 GB,128 GB,Dual SIM,Sì,Sì,Black,Super AMOLED,"6,5",No,4000 mAh,"15,85","7,36","0,79 cm","0,172"
9,2020-08-05 06:41:45.678664,2020-08-05,1,MediaWorld,Android,SAMSUNG,Galaxy A20e,139.99,179.99,3 GB,32 GB,Dual SIM,Sì,Sì,Blue,TFT,"5,8",N.d,3000 mAh,"14,74","6,97","0,84 cm","0,14"
10,2020-08-05 06:42:17.214556,2020-08-05,1,MediaWorld,Android,SAMSUNG,Galaxy S20 4G,597.35,919.00,8 GB,128 GB,Mono SIM,Sì,Sì,Blue,Dynamic AMOLED,"6,2",No,4000 mAh,"15,17","6,91","0,79 cm","0,163"
11,2020-08-05 06:42:47.900492,2020-08-05,1,MediaWorld,Android,SAMSUNG,Galaxy A51,269.25,359.00,4 GB,128 GB,Dual SIM,Sì,Sì,Blue,Super AMOLED,"6,5",No,4000 mAh,"15,85","7,36","0,79 cm","0,172"
12,2020-08-05 06:43:12.310815,2020-08-05,1,MediaWorld,Ios,APPLE,iPhone 11 Pro 64GB,1044.00,1199.00,,64 GB,Mono SIM,Sì,Sì,Gold,Oled,"5,8",No,,"14,4","7,14","0,81 cm","0,188"
13,2020-08-05 06:43:36.322602,2020-08-05,1,MediaWorld,Ios,APPLE,iPhone SE 128GB,549.00,549.00,,128 GB,Mono SIM,Sì,Sì,Black,Retina,"4,7",No,,"6,73","13,84","0,73 cm","0,148"
