,tms_loading,date_loading,id_vendor,vendor,os,brand,model,price,original_price,ram,memory,sim,gps,a_gps,color,display_type,display_size,carrier,battery_capacity,height,width,length,weight
268,2020-08-13 18:06:37.439510,2020-08-13,2,Unieuro,Android  ,Wiko,VIEW Prime,€119.00,€159.99,4   GB,64   GB,Doppia SIM  ,Sì  ,Sì  ,Verde  ,IPS  ,"5.7   """,No,3000   mAh,152.3   mm,72.8   mm,8.3   mm,162   g
269,2020-08-13 18:07:32.219114,2020-08-13,2,Unieuro,Android  ,Oppo,RX17 Neo Astral Blue,€149.00,€189.00,4   GB,128   GB,,Sì  ,,Blu  ,AMOLED  ,"6.41   """,No,3600   mAh,158.3   mm,75.5   mm,7.4   mm,156   g
270,2020-08-13 18:08:03.596866,2020-08-13,2,Unieuro,Android  ,Huawei,Y6 2019,€129.00,€159.90,2   GB,32   GB,,Sì  ,Sì  ,Nero  ,IPS  ,"6.09   """,TIM,3020   mAh,156.28   mm,73.5   mm,8   mm,150   g
271,2020-08-13 18:08:44.980996,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy A10,€139.00,€159.90,2   GB,32   GB,Doppia SIM  ,Sì  ,Sì  ,Rosso  ,TFT  ,"6.2   """,No,3400   mAh,155.6   mm,75.6   mm,7.9   mm,168   g
272,2020-08-13 18:09:35.454166,2020-08-13,2,Unieuro,Android  ,Huawei,P40 Pro+,€1399.90,€1399.90,8   GB,512   GB,Doppia SIM  ,Sì  ,,Nero  ,OLED  ,"6.58   """,No,4200   mAh,158.2   mm,72.6   mm,9   mm,226   g
273,2020-08-13 18:10:04.925301,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy A10,€139.00,€159.90,2   GB,32   GB,Doppia SIM  ,Sì  ,Sì  ,Blu  ,TFT  ,"6.2   """,No,3400   mAh,155.6   mm,75.6   mm,7.9   mm,168   g
274,2020-08-13 18:10:52.607387,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy A40,€199.00,€259.90,4   GB,64   GB,Doppia SIM  ,Sì  ,Sì  ,Bianco  ,SAMOLED  ,"5.9   """,No,3100   mAh,144.4   mm,69.2   mm,7.9   mm,140   g
275,2020-08-13 18:11:44.986489,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy S10 SM-G973F/DS,€579.00,€1179.00,8   GB,512   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Nero  ,Dynamic AMOLED  ,"6.1   """,No,3400   mAh,149.9   mm,70.4   mm,7.8   mm,157   g
276,2020-08-13 18:13:06.697423,2020-08-13,2,Unieuro,Android  ,LG,G8S ThinQ,€399.00,€769.90,6   GB,128   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Nero  ,OLED  ,"6.21   """,No,3550   mAh,155.3   mm,76.6   mm,7.99   mm,181   g
277,2020-08-13 18:14:01.572563,2020-08-13,2,Unieuro,Android  ,Huawei,P smart Z,€189.90,€279.90,4   GB,64   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Blu  ,LTPS  ,"6.59   """,No,4000   mAh,163.5   mm,77.3   mm,8.8   mm,196.8   g
278,2020-08-13 18:14:34.062938,2020-08-13,2,Unieuro,Android  ,Wiko,WIM 14,€109.00,€149.99,4   GB,64   GB,Doppia SIM  ,Sì  ,Sì  ,Blu  ,AMOLED  ,"5.5   """,No,3200   mAh,156.2   mm,75.3   mm,7.9   mm,160   g
279,2020-08-13 18:15:17.039048,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy A40,€199.00,€259.90,4   GB,64   GB,Doppia SIM  ,Sì  ,Sì  ,Blu  ,SAMOLED  ,"5.9   """,No,3100   mAh,144.4   mm,69.2   mm,7.9   mm,140   g
280,2020-08-13 18:16:09.428097,2020-08-13,2,Unieuro,,ASUS,ZenFone Max Pro M1,€139.00,€179.99,3   GB,32   GB,Doppia SIM  ,Si  ,Si  ,Nero  ,IPS  ,"6   """,No,5000   mAh,159   mm,76   mm,8.45   mm,180   g
281,2020-08-13 18:16:43.192906,2020-08-13,2,Unieuro,Android  ,Wiko,View 3 Lite,€109.00,€129.99,2   GB,32   GB,Doppia SIM  ,Sì  ,Sì  ,"Nero, Blu  ",IPS  ,"6.09   """,No,4000   mAh,155.5   mm,73   mm,8.7   mm,160.1   g
282,2020-08-13 18:17:26.787907,2020-08-13,2,Unieuro,Android  ,Oppo,RX17 Pro Emerald Green,€249.00,€299.00,6   GB,128   GB,,Sì  ,Sì  ,Verde  ,AMOLED  ,"6.4   """,No,3700   mAh,157.6   mm,74.6   mm,7.9   mm,183   g
283,2020-08-13 18:18:06.304689,2020-08-13,2,Unieuro,Android  ,Motorola,Moto E Moto E6 play 14,€99.90,€119.99,2   GB,32   GB,Doppia SIM  ,Sì  ,Sì  ,Blu  ,IPS  ,"5.5   """,No,3000   mAh,146.5   mm,70.9   mm,8.3   mm,140   g
284,2020-08-13 18:18:34.914595,2020-08-13,2,Unieuro,Android  ,ASUS,ZenFone 4 Selfie Pro ZD552KL-5A001WW smartphone 14,€139.00,€399.00,4   GB,64   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,AMOLED  ,"5.5   """,No,3000   mAh,154.02   mm,74.83   mm,6.85   mm,147   g
285,2020-08-13 18:18:59.712654,2020-08-13,2,Unieuro,,ASUS,ZenFone 5 Doppia SIM 4G,€199.00,€399.00,4   GB,64   GB,Doppia SIM  ,Si  ,Si  ,midnight blue  ,IPS  ,"6.2   """,No,3300   mAh,7.7   mm,153   mm,75.65   mm,165   g
286,2020-08-13 18:19:29.794379,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy Note9,€499.00,€999.00,6   GB,128   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Lavanda  ,SAMOLED  ,"6.4   """,No,4000   mAh,161.9   mm,76.4   mm,8.8   mm,201   g
287,2020-08-13 18:21:18.174897,2020-08-13,2,Unieuro,Android  ,ASUS,ZenFone 5 ZE620KL-1H010EU,€199.99,€399.00,4   GB,64   GB,Doppia SIM  ,Sì  ,Sì  ,Argento  ,IPS  ,"6.2   """,No,3300   mAh,7.7   mm,153   mm,75.65   mm,165   g
288,2020-08-13 18:22:00.861153,2020-08-13,2,Unieuro,Android  ,Wiko,View 2 Plus,€139.00,€249.99,4   GB,64   GB,Doppia SIM  ,,Sì  ,Oro  ,IPS  ,"5.93   """,No,4000   mAh,153.4   mm,73.2   mm,8.6   mm,166   g
289,2020-08-13 18:22:38.898663,2020-08-13,2,Unieuro,Android  ,Wiko,View 2 Plus,€139.00,€249.99,4   GB,64   GB,Doppia SIM  ,,Sì  ,Antracite  ,IPS  ,"5.93   """,No,4000   mAh,153.4   mm,73.2   mm,8.6   mm,166   g
290,2020-08-13 18:23:08.181869,2020-08-13,2,Unieuro,Android  ,LG,Q60,€139.00,€249.90,3   GB,64   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,IPS  ,"6.26   """,No,3500   mAh,161.3   mm,77   mm,8.7   mm,172   g
291,2020-08-13 18:23:55.733205,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy A9 (2018) A9,€169.00,€299.90,6   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,SAMOLED  ,"6.3   """,No,3800   mAh,162.5   mm,77   mm,7.8   mm,183   g
292,2020-08-13 18:24:54.208703,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy S10e SM-G970F/DS,€449.00,€779.00,6   GB,128   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Giallo  ,Dynamic AMOLED  ,"5.8   """,No,3100   mAh,142.2   mm,69.9   mm,7.9   mm,150   g
293,2020-08-13 18:26:13.325878,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy S10e SM-G970F/DS,€449.00,€779.00,6   GB,128   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Bianco  ,Dynamic AMOLED  ,"5.8   """,No,3100   mAh,142.2   mm,69.9   mm,7.9   mm,150   g
294,2020-08-13 18:27:24.717211,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy S10e SM-G970F/DS,€449.00,€779.00,6   GB,128   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Verde  ,Dynamic AMOLED  ,"5.8   """,No,3100   mAh,142.2   mm,69.9   mm,7.9   mm,150   g
295,2020-08-13 18:28:39.116202,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy S10e SM-G970F/DS,€449.00,€779.00,6   GB,128   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Nero  ,Dynamic AMOLED  ,"5.8   """,No,3100   mAh,142.2   mm,69.9   mm,7.9   mm,150   g
296,2020-08-13 18:29:52.820779,2020-08-13,2,Unieuro,Android  ,ASUS,ZENFONE 5 Z,€349.00,€599.00,8   GB,256   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Blu  ,IPS  ,"6.2   """,No,3300   mAh,7.7   mm,153   mm,75.65   mm,165   g
297,2020-08-13 18:30:29.775785,2020-08-13,2,Unieuro,,Asus,ZenFone 4 SIM singola 4G 64GB Nero,€119.00,€199.90,4   GB,64   GB,SIM singola  ,Si  ,Si  ,Nero  ,IPS  ,"5.5   """,TIM,3300   mAh,155.4   mm,75.2   mm,7.7   mm,155   g
298,2020-08-13 18:31:14.810190,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy S10+ SM-G975F/DS,€759.00,€1279.00,8   GB,512   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Nero  ,Dynamic AMOLED  ,"6.4   """,No,4100   mAh,157.6   mm,74.1   mm,7.8   mm,198   g
299,2020-08-13 18:32:23.408429,2020-08-13,2,Unieuro,Android  ,Motorola,moto g⁷ power,€139.00,€229.99,4   GB,64   GB,,Sì  ,Sì  ,Nero  ,LTPS  ,"6.2   """,No,5000   mAh,159.43   mm,76   mm,9.3   mm,193   g
