,tms_loading,date_loading,id_vendor,vendor,os,brand,model,price,original_price,ram,memory,sim,gps,a_gps,color,display_type,display_size,carrier,battery_capacity,height,width,length,weight
59,2020-08-05 16:58:12.169878,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone XR,€699.00,€729.90,,64   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,LCD  ,"6.1   """,No,,150.9   mm,75.7   mm,8.3   mm,194   g
60,2020-08-05 16:59:03.144944,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 256,€1009.00,€1009.00,,256   GB,Doppia SIM  ,Sì  ,Sì  ,Rosso  ,LCD  ,"6.1   """,No,,150.9   mm,75.7   mm,8.3   mm,194   g
61,2020-08-05 16:59:52.763917,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 7 32GB Nero opaco,€359.00,€399.00,2   GB,32   GB,SIM singola  ,Sì  ,Sì  ,Nero    ,IPS  ,"4.7   """,No,1960   mAh,138.3   mm,67.1   mm,7.1   mm,138   g
62,2020-08-05 17:00:53.372697,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 8,€499.00,€499.00,,64   GB,SIM singola  ,Sì  ,Sì  ,Nero    ,IPS  ,"4.7   """,TIM,,138.4   mm,67.3   mm,7.3   mm,148   g
63,2020-08-05 17:01:50.914942,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone XS,€739.00,€739.00,,64   GB,Doppia SIM  ,Sì  ,Sì  ,Grigio  ,OLED  ,"5.8   """,No,,143.6   mm,70.9   mm,7.7   mm,177   g
64,2020-08-05 17:02:37.364099,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 7 32GB Argento,€359.00,€399.00,2   GB,32   GB,SIM singola  ,Sì  ,Sì  ,Argento  ,IPS  ,"4.7   """,No,1960   mAh,138.3   mm,67.1   mm,7.1   mm,138   g
65,2020-08-05 17:03:34.882855,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone XS 64GB Oro,€739.00,€739.00,,64   GB,Doppia SIM  ,Sì  ,Sì  ,Oro  ,OLED  ,"5.8   """,No,,143.6   mm,70.9   mm,7.7   mm,177   g
66,2020-08-05 17:04:28.053058,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone XS,€739.00,€739.00,,64   GB,Doppia SIM  ,Sì  ,Sì  ,Argento  ,OLED  ,"5.8   """,No,,143.6   mm,70.9   mm,7.7   mm,177   g
67,2020-08-05 17:05:16.467021,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone X 64GB Grigio siderale,€649.00,€649.00,,64   GB,SIM singola  ,Sì  ,Sì  ,Grigio  ,OLED  ,"5.8   """,No,,143.6   mm,70.9   mm,7.7   mm,174   g
68,2020-08-05 17:06:06.310678,2020-08-05,2,Unieuro,,APPLE,iPhone 7 32GB 4G 32GB Nero,€359.00,€399.00,2   GB,32   GB,SIM singola  ,Si  ,Si  ,Nero  ,IPS  ,"4.7   """,No,1960   mAh,138.3   mm,67.1   mm,7.1   mm,138   g
69,2020-08-05 17:06:54.992099,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone XS,€849.00,€849.00,,256   GB,Doppia SIM  ,Sì  ,Sì  ,Argento  ,OLED  ,"5.8   """,No,,143.6   mm,70.9   mm,7.7   mm,177   g
70,2020-08-05 17:07:42.815658,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone XS,€849.00,€849.00,,256   GB,Doppia SIM  ,Sì  ,Sì  ,Oro  ,OLED  ,"5.8   """,No,,143.6   mm,70.9   mm,7.7   mm,177   g
